auteur	electeur	version
attention-a-la-qualite-et-a-la-securite-des-textes-scientifiques-qui-doivent-etre-valides-en-amont-promus-et-enrichis-ensuite-par-le-biais-de-bases-de-donnees	dominiqueillien	jeannevarasco
attention-a-la-qualite-et-a-la-securite-des-textes-scientifiques-qui-doivent-etre-valides-en-amont-promus-et-enrichis-ensuite-par-le-biais-de-bases-de-donnees	dominiqueillien	syndicatnationaldeledition
attention-a-la-qualite-et-a-la-securite-des-textes-scientifiques-qui-doivent-etre-valides-en-amont-promus-et-enrichis-ensuite-par-le-biais-de-bases-de-donnees	dominiqueillien	barrierejeanpaul
attention-a-la-qualite-et-a-la-securite-des-textes-scientifiques-qui-doivent-etre-valides-en-amont-promus-et-enrichis-ensuite-par-le-biais-de-bases-de-donnees	dominiqueillien	editionsdalloz
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	leboecla
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	savoircom1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	benoitrkloeckner
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	pierrenaegelen
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	marcjeanmougin
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	grasisabelle
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	davidvantyghem
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	damienbelveze
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	fredericherbreteau
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	gregorytible
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	stephaniebouvier
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	mathieusaby
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	lasneolivier
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	aurelienmeyer
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	gaellefily
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	christineollendorff
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	gregoirepauly
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	magaliemoysan
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	pierre9
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	alainmarois
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	fabienduprat
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	aeris
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	anthoinebourgeois
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	pierrecol
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	evasimon
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	nicolaspanti
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	gregschwe
