electeur	auteur	vote	version
jeannevarasco	dominiqueillien	1	attention-a-la-qualite-et-a-la-securite-des-textes-scientifiques-qui-doivent-etre-valides-en-amont-promus-et-enrichis-ensuite-par-le-biais-de-bases-de-donnees
fabienandre	dominiqueillien	-1	attention-a-la-qualite-et-a-la-securite-des-textes-scientifiques-qui-doivent-etre-valides-en-amont-promus-et-enrichis-ensuite-par-le-biais-de-bases-de-donnees
syndicatnationaldeledition	dominiqueillien	1	attention-a-la-qualite-et-a-la-securite-des-textes-scientifiques-qui-doivent-etre-valides-en-amont-promus-et-enrichis-ensuite-par-le-biais-de-bases-de-donnees
barrierejeanpaul	dominiqueillien	1	attention-a-la-qualite-et-a-la-securite-des-textes-scientifiques-qui-doivent-etre-valides-en-amont-promus-et-enrichis-ensuite-par-le-biais-de-bases-de-donnees
gregoire	dominiqueillien	-1	attention-a-la-qualite-et-a-la-securite-des-textes-scientifiques-qui-doivent-etre-valides-en-amont-promus-et-enrichis-ensuite-par-le-biais-de-bases-de-donnees
vincentreverdy	dominiqueillien	-1	attention-a-la-qualite-et-a-la-securite-des-textes-scientifiques-qui-doivent-etre-valides-en-amont-promus-et-enrichis-ensuite-par-le-biais-de-bases-de-donnees
editionsdalloz	dominiqueillien	1	attention-a-la-qualite-et-a-la-securite-des-textes-scientifiques-qui-doivent-etre-valides-en-amont-promus-et-enrichis-ensuite-par-le-biais-de-bases-de-donnees
leboecla	danielbourrion	1	ne-pas-oublier-les-sets-de-donnees-lies-a-un-article
savoircom1	danielbourrion	1	ne-pas-oublier-les-sets-de-donnees-lies-a-un-article
benoitrkloeckner	danielbourrion	1	ne-pas-oublier-les-sets-de-donnees-lies-a-un-article
pierrenaegelen	danielbourrion	1	ne-pas-oublier-les-sets-de-donnees-lies-a-un-article
marcjeanmougin	danielbourrion	1	ne-pas-oublier-les-sets-de-donnees-lies-a-un-article
grasisabelle	danielbourrion	1	ne-pas-oublier-les-sets-de-donnees-lies-a-un-article
davidvantyghem	danielbourrion	1	ne-pas-oublier-les-sets-de-donnees-lies-a-un-article
damienbelveze	danielbourrion	1	ne-pas-oublier-les-sets-de-donnees-lies-a-un-article
fredericherbreteau	danielbourrion	1	ne-pas-oublier-les-sets-de-donnees-lies-a-un-article
gregorytible	danielbourrion	1	ne-pas-oublier-les-sets-de-donnees-lies-a-un-article
stephaniebouvier	danielbourrion	1	ne-pas-oublier-les-sets-de-donnees-lies-a-un-article
mathieusaby	danielbourrion	1	ne-pas-oublier-les-sets-de-donnees-lies-a-un-article
lasneolivier	danielbourrion	1	ne-pas-oublier-les-sets-de-donnees-lies-a-un-article
