version	auteur	electeur	vote
attention-a-la-qualite-et-a-la-securite-des-textes-scientifiques-qui-doivent-etre-valides-en-amont-promus-et-enrichis-ensuite-par-le-biais-de-bases-de-donnees	dominiqueillien	jeannevarasco	1
attention-a-la-qualite-et-a-la-securite-des-textes-scientifiques-qui-doivent-etre-valides-en-amont-promus-et-enrichis-ensuite-par-le-biais-de-bases-de-donnees	dominiqueillien	fabienandre	-1
attention-a-la-qualite-et-a-la-securite-des-textes-scientifiques-qui-doivent-etre-valides-en-amont-promus-et-enrichis-ensuite-par-le-biais-de-bases-de-donnees	dominiqueillien	syndicatnationaldeledition	1
attention-a-la-qualite-et-a-la-securite-des-textes-scientifiques-qui-doivent-etre-valides-en-amont-promus-et-enrichis-ensuite-par-le-biais-de-bases-de-donnees	dominiqueillien	barrierejeanpaul	1
attention-a-la-qualite-et-a-la-securite-des-textes-scientifiques-qui-doivent-etre-valides-en-amont-promus-et-enrichis-ensuite-par-le-biais-de-bases-de-donnees	dominiqueillien	gregoire	-1
attention-a-la-qualite-et-a-la-securite-des-textes-scientifiques-qui-doivent-etre-valides-en-amont-promus-et-enrichis-ensuite-par-le-biais-de-bases-de-donnees	dominiqueillien	vincentreverdy	-1
attention-a-la-qualite-et-a-la-securite-des-textes-scientifiques-qui-doivent-etre-valides-en-amont-promus-et-enrichis-ensuite-par-le-biais-de-bases-de-donnees	dominiqueillien	editionsdalloz	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	leboecla	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	savoircom1	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	benoitrkloeckner	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	pierrenaegelen	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	marcjeanmougin	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	grasisabelle	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	davidvantyghem	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	damienbelveze	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	fredericherbreteau	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	gregorytible	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	stephaniebouvier	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	mathieusaby	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	lasneolivier	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	aurelienmeyer	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	jeannevarasco	0
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	gaellefily	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	christineollendorff	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	hugol	0
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	gregoirepauly	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	magaliemoysan	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	pierre9	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	alainmarois	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	fabienduprat	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	aeris	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	anthoinebourgeois	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	pierrecol	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	evasimon	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	nicolaspanti	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	gregschwe	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	aymericpoulainmaubant	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	fouillet	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	geoffreylemoine	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	jeanpierregesbert	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	delphinecavallo	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	thomasblanchard	0
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	patricem	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	juliejanody	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	elianedaphy	-1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	julienprost	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	sludovic	0
